test,bss_mb,iteration,execve_ns,mmput_ns
test3,300,33,3243091,3178085
test3,300,34,3240375,3171949
test3,300,35,3104143,3016333
test3,300,36,3234180,3169399
test3,300,37,3209097,3145507
test3,300,38,3237740,3174152
test3,300,39,3306924,3240697
test3,300,40,3153019,3083813
test3,300,41,3056286,2980096
test3,300,42,3188024,3103415
test3,300,43,3021496,2952933
test3,300,44,3059910,2990705
test3,300,45,3044781,2980802
test3,300,46,3022202,2957420
test3,300,47,3101518,3032575
test3,300,48,3180581,3110297
test3,300,49,3229396,3151634
test3,300,50,3169708,3106207
test4,400,1,4176610,4115606
test4,400,2,4028309,3966210
test4,400,3,4129138,4048501
test4,400,4,4323121,4250494
test4,400,5,4288511,4209857
test4,400,6,4279347,4203006
test4,400,7,4285044,4212409
test4,400,8,4358902,4204134
test4,400,9,4252123,4162895
test4,400,10,4254684,4180448
test4,400,11,4236473,4163890
test4,400,12,4256209,4181635
test4,400,13,4312351,4163222
test4,400,14,4291858,4218875
test4,400,15,4301855,4227808
test4,400,16,4145238,4071702
test4,400,17,4197664,4128520
test4,400,18,4784310,4718380
test4,400,19,4207816,4135895
test4,400,20,4270057,4193748
test4,400,21,4246183,4191766
test4,400,22,4168558,4108686
test4,400,23,4276129,4212538
test4,400,24,4144041,4087905
test4,400,25,4168754,4113635
test4,400,26,4364253,4298646
test4,400,27,4502749,4426671
test4,400,28,4455800,4370497
test4,400,29,4431645,4357812
test4,400,30,4239106,4166308
test4,400,31,4280634,4206537
test4,400,32,4314687,4238242
test4,400,33,4418167,4344249
test4,400,34,4289603,4217370
test4,400,35,4335299,4258086
test4,400,36,4282682,4211644
test4,400,37,4381479,4309601
test4,400,38,4272580,4184438
test4,400,39,4330448,4261921
test4,400,40,4314395,4243150
test4,400,41,4089664,4015764
test4,400,42,4293073,4219784
test4,400,43,4312228,4237699
test4,400,44,4122302,4043356
test4,400,45,4083707,4008749
test4,400,46,4285538,4209185
test4,400,47,4147164,4038060
test4,400,48,4384399,4313675
test4,400,49,4297066,4227800
test4,400,50,4345137,4261855
test5,600,1,6076693,5995198
test5,600,2,5990389,5920286
test5,600,3,6167183,6071223
test5,600,4,6237660,6159388
test5,600,5,6203915,6135828
test5,600,6,6237585,6173397
test5,600,7,6231611,6163341
test5,600,8,6397387,6325734
test5,600,9,5935591,5864517
test5,600,10,5935992,5858319
test5,600,11,5947870,5876239
test5,600,12,5934796,5863514
test5,600,13,5991193,5918893
test5,600,14,6372347,6300040
test5,600,15,6291555,6220849
test5,600,16,5891253,5795415
test5,600,17,5894438,5822068
test5,600,18,6211785,6136869
test5,600,19,6024251,5919294
test5,600,20,5918120,5845351
test5,600,21,6032227,5941107
test5,600,22,5927958,5853491
test5,600,23,6148324,6066999
test5,600,24,6205538,6154020
test5,600,25,5809648,5756674
test5,600,26,6164422,6079733
test5,600,27,5966313,5867921
test5,600,28,6346846,6281787
test5,600,29,6265139,6186281
test5,600,30,6275524,6199317
test5,600,31,6118807,6041607
test5,600,32,5997973,5923842
test5,600,33,6255292,6188156
test5,600,34,6300352,6231173
test5,600,35,6014918,5945598
test5,600,36,6051824,5978917
test5,600,37,5885927,5818449
test5,600,38,6164348,6064556
test5,600,39,6297716,6229667
test5,600,40,6282744,6205343
test5,600,41,6407898,6333289
test5,600,42,6075505,5999010
test5,600,43,6353865,6202171
test5,600,44,6341978,6269822
test5,600,45,6335237,6266229
test5,600,46,6348480,6275212
test5,600,47,6355130,6285800
test5,600,48,5994701,5920265
test5,600,49,6291277,6217479
test5,600,50,5910195,5853085
test6,800,1,7833532,7761212
test6,800,2,8007732,7927729
test6,800,3,8003316,7906816
test6,800,4,8319505,8239254
test6,800,5,7975825,7898387
test6,800,6,7933991,7850416
test6,800,7,7873118,7797209
test6,800,8,8316637,8233590
test6,800,9,8222933,8137165
test6,800,10,7758827,7681964
test6,800,11,7736273,7656889
test6,800,12,7706295,7624597
test6,800,13,8323832,8241068
test6,800,14,7843078,7733389
test6,800,15,8168322,8066194
test6,800,16,7736966,7633062
test6,800,17,8294886,8201724
test6,800,18,7961992,7878416
test6,800,19,7991178,7912718
test6,800,20,8043920,7933179
test6,800,21,7927354,7849982
test6,800,22,8034516,7899503
test6,800,23,7900453,7790378
test6,800,24,8019919,7941000
test6,800,25,7790570,7727473
test6,800,26,8269625,8179729
test6,800,27,8107928,8021593
test6,800,28,7886382,7798436
test6,800,29,7855622,7780357
test6,800,30,7881077,7802853
test6,800,31,7834876,7758470
test6,800,32,7969801,7876256
test6,800,33,8369641,8286846
test6,800,34,8076499,8001858
test6,800,35,8052514,7974297
test6,800,36,7946292,7860717
test6,800,37,8293473,8220123
test6,800,38,7629488,7550052
test6,800,39,8200504,8119160
test6,800,40,7669174,7590824
test6,800,41,8215834,8146671
test6,800,42,8390098,8311888
test6,800,43,7947297,7875356
test6,800,44,8079585,7998881
test6,800,45,7663177,7589060
test6,800,46,7700486,7623059
test6,800,47,7807975,7732368
test6,800,48,7780718,7699597
test6,800,49,8157237,8044268
test6,800,50,7703934,7621777
test7,1024,1,10143314,10053009
test7,1024,2,9813244,9716934
test7,1024,3,10461639,10388126
test7,1024,4,9676994,9583480
test7,1024,5,9776081,9695327
test7,1024,6,9737495,9658792
test7,1024,7,9790827,9701482
test7,1024,8,9972751,9903567
test7,1024,9,10286594,10215986
test7,1024,10,9798967,9718172
test7,1024,11,9987047,9906448
test7,1024,12,9783026,9693702
test7,1024,13,9865017,9780913
test7,1024,14,9943757,9821225
test7,1024,15,10068748,9986587
test7,1024,16,11541473,11455651
test7,1024,17,10347381,10261187
test7,1024,18,10193227,10112276
test7,1024,19,10586318,10499506
test7,1024,20,10101940,10014356
test7,1024,21,10524644,10441109
test7,1024,22,9800170,9716684
test7,1024,23,9831106,9748906
test7,1024,24,9798939,9721173
test7,1024,25,9822686,9732509
test7,1024,26,9839857,9766288
test7,1024,27,9766165,9697868
test7,1024,28,9791138,9712695
test7,1024,29,9882072,9801742
test7,1024,30,9991957,9921401
test7,1024,31,10358029,10275340
test7,1024,32,10504333,10410462
test7,1024,33,10018863,9933778
test7,1024,34,9720074,9638372
test7,1024,35,9942998,9863606
test7,1024,36,10633388,10549038
test7,1024,37,10019229,9944369
test7,1024,38,9997384,9916443
test7,1024,39,9996434,9915052
test7,1024,40,9940524,9853742
test7,1024,41,9963908,9883023
test7,1024,42,10464901,10395064
test7,1024,43,10434207,10364971
test7,1024,44,9819484,9746089
test7,1024,45,10751905,10662276
test7,1024,46,9756113,9665481
test7,1024,47,10200985,10110865
test7,1024,48,10224288,10135010
test7,1024,49,9925549,9839967
test7,1024,50,10511157,10426466
test8,1600,1,16467078,16371709
test8,1600,2,15332915,15246300
test8,1600,3,15337619,15255477
test8,1600,4,16242587,16161638
test8,1600,5,15523793,15452217
test8,1600,6,15624557,15544617
test8,1600,7,15311993,15213832
test8,1600,8,16391276,16241120
test8,1600,9,15532846,15441296
test8,1600,10,15461028,15365442
test8,1600,11,15547305,15456938
test8,1600,12,15536284,15451377
test8,1600,13,16300192,16212064
test8,1600,14,15556196,15474104
test8,1600,15,16354194,16268685
test8,1600,16,16375682,16304490
test8,1600,17,16293371,16211157
test8,1600,18,16407172,16204270
test8,1600,19,15591819,15505799
test8,1600,20,16236315,16149698
test8,1600,21,16305787,16218377
test8,1600,22,16383602,16297805
test8,1600,23,16292667,16210106
test8,1600,24,16503631,16422237
test8,1600,25,16408823,16328567
test8,1600,26,16367229,16284674
test8,1600,27,15480076,15394610
test8,1600,28,15335736,15260196
test8,1600,29,15410946,15326713
test8,1600,30,15406627,15320772
test8,1600,31,15489324,15402160
test8,1600,32,16499458,16416902
test8,1600,33,16346755,16263075
test8,1600,34,15579368,15486704
test8,1600,35,15206887,15121084
test8,1600,36,15333515,15246124
test8,1600,37,15093595,15002968
test8,1600,38,15284791,15200917
test8,1600,39,15154323,15062579
test8,1600,40,16382630,16306181
test8,1600,41,15423452,15326320
test8,1600,42,16283377,16197352
test8,1600,43,15528203,15445984
test8,1600,44,16305340,16215718
test8,1600,45,15328425,15243660
test8,1600,46,15626916,15541953
test8,1600,47,15426948,15346556
test8,1600,48,15639114,15553980
test8,1600,49,15426849,15344013
test8,1600,50,15443858,15378663
test9,2048,1,19897191,19809980
test9,2048,2,19759647,19669430
test9,2048,3,19525679,19450554
test9,2048,4,19557275,19468757
test9,2048,5,19590355,19506665
test9,2048,6,20748574,20663664
test9,2048,7,19867243,19783597
test9,2048,8,19603755,19526217
test9,2048,9,19449154,19377617
test9,2048,10,19740626,19656932
test9,2048,11,22308914,22220741
test9,2048,12,19785002,19713843
test9,2048,13,19662854,19575966
test9,2048,14,19728111,19647225
test9,2048,15,19881683,19800551
test9,2048,16,19845557,19761552
test9,2048,17,19815687,19745868
test9,2048,18,19814729,19731431
test9,2048,19,20859078,20768176
test9,2048,20,19883142,19796583
test9,2048,21,20958369,20826024
test9,2048,22,19682798,19594960
test9,2048,23,19668050,19574772
test9,2048,24,19749950,19654203
test9,2048,25,19822157,19744007
test9,2048,26,20662219,20572315
test9,2048,27,20964684,20878686
test9,2048,28,20742494,20662019
test9,2048,29,20749678,20656858
test9,2048,30,19966317,19785524
test9,2048,31,20871867,20789298
test9,2048,32,19829495,19754933
test9,2048,33,19991902,19909072
test9,2048,34,19954437,19866771
test9,2048,35,19807139,19717530
test9,2048,36,19955576,19819673
test9,2048,37,22542385,22453151
test9,2048,38,19849017,19762668
test9,2048,39,21228448,21140087
test9,2048,40,20837621,20750343
test9,2048,41,21497464,21406486
test9,2048,42,19731732,19636456
test9,2048,43,19868223,19791909
test9,2048,44,19672147,19586190
test9,2048,45,19768290,19677584
test9,2048,46,19745649,19653667
test9,2048,47,19927419,19851331
test9,2048,48,20025963,19943919
test9,2048,49,19648766,19565363
test9,2048,50,19928418,19755863
test10,4096,1,53027546,51505924
test10,4096,2,51429886,50201527
test10,4096,3,49036131,47720240
test10,4096,4,47061769,45531758
test10,4096,5,48145615,46190711
test10,4096,6,48242448,47134279
test10,4096,7,48430834,47078154
test10,4096,8,47909337,46570943
test10,4096,9,50205485,49086276
test10,4096,10,48293169,47007324
test10,4096,11,47892232,46694691
test10,4096,12,50788163,49409901
test10,4096,13,47122383,45833894
test10,4096,14,48170764,46737371
test10,4096,15,46420171,44803476
test10,4096,16,45980345,44772381
test10,4096,17,48314354,47148383
test10,4096,18,47259616,46545290
test10,4096,19,47799726,46359648
test10,4096,20,47652106,46589687
test10,4096,21,46864120,45583638
test10,4096,22,46580432,45114117
test10,4096,23,48205089,46794503
test10,4096,24,47135542,46368172
test10,4096,25,47781283,46458161
test10,4096,26,46388289,45080402
test10,4096,27,48709981,47323722
test10,4096,28,49015459,47738612
test10,4096,29,49133916,47727409
test10,4096,30,48141323,46884286
test10,4096,31,48663322,47551131
test10,4096,32,47224509,46140373
test10,4096,33,49141716,47693592
test10,4096,34,48261601,46886903
test10,4096,35,48520290,47333504
test10,4096,36,48981876,47572389
test10,4096,37,47215157,46035996
test10,4096,38,48625672,47285438
test10,4096,39,48549601,47218602
test10,4096,40,49510037,48133919
test10,4096,41,46894007,45494776
test10,4096,42,46045219,44652079
test10,4096,43,47708710,46533562
test10,4096,44,48034400,46770862
test10,4096,45,46979418,45860781
test10,4096,46,49265748,47912293
test10,4096,47,49397312,47921056
test10,4096,48,47607594,46287777
test10,4096,49,48641090,46817051
test10,4096,50,43714605,42739694

# =============================== SUMMARY ===============================
# Outlier removal: IQR method (values outside [Q1 - 1.5*IQR, Q3 + 1.5*IQR] removed)

test,bss_mb,total_runs,raw_avg_execve_ns,raw_avg_execve_us,raw_avg_mmput_ns,raw_avg_mmput_us,filtered_runs_execve,filtered_avg_execve_ns,filtered_avg_execve_us,filtered_runs_mmput,filtered_avg_mmput_ns,filtered_avg_mmput_us
test,0,50,45335,45.33,15270,15.27,46,40877,40.88,47,13644,13.64
test1,50,50,621497,621.50,569369,569.37,48,616065,616.07,49,566687,566.69
test2,200,50,2222690,2222.69,2153950,2153.95,50,2222690,2222.69,50,2153950,2153.95
test3,300,50,3220952,3220.95,3149873,3149.87,48,3203495,3203.49,48,3132625,3132.62
test4,400,50,4279142,4279.14,4202857,4202.86,47,4268973,4268.97,47,4192162,4192.16
test5,600,50,6136354,6136.35,6060055,6060.06,50,6136354,6136.35,50,6060055,6060.06
test6,800,50,7984284,7984.28,7899756,7899.76,50,7984284,7984.28,50,7899756,7899.76
test7,1024,50,10082167,10082.17,9999130,9999.13,49,10052385,10052.38,49,9969405,9969.41
test8,1600,50,15802449,15802.45,15713984,15713.98,50,15802449,15802.45,50,15713984,15713.98
test9,2048,50,20139459,20139.46,20049140,20049.14,48,20044201,20044.20,48,19953815,19953.81
test10,4096,50,48122388,48122.39,46816733,46816.73,47,48041433,48041.43,47,46731692,46731.69

# Generated: Sunday 26 April 2026 12:24:08 PM IST
